Name,Scholar ID,Affiliation
Gregory Thien Soon How,FWrrweMAAAAJ,Multimedia University
Yee Kit Chan,LxwSdWIAAAAJ,"Professor, Multimedia University"
Ivan Ku,Ep_oJi4AAAAJ,Multimedia University
Lan TP Nguyen,aTVgMaYAAAAJ,"Ph.D. in Finance, MMU"
ChongHan Ng,hw8TNV0AAAAJ,Multimedia University
Nasr YM Omar,zwEmkWEAAAAJ,Multimedia University
Su-Mae Tan,sgDMUEkAAAAJ,Multimedia University
Rosli Besar,Puh4CskAAAAJ,"Associate Professor, Faculty of Engineering and Technology, Multimedia University"
Sumendra Yogarayan,Aodi_wsAAAAJ,Multimedia University
mukter zaman,FWFGxhwAAAAJ,"Associate Professor, Faculty of Engineering, Multimedia University, Malaysia"
Dr. Mazni Alias,DjwUgBYAAAAJ,Multimedia University
Lai-Kuan Wong,9ofaMccAAAAJ,Multimedia University
Alan Tan,gnD6hW8AAAAJ,Multimedia University
Tien Sze Lim,VFzu3NoAAAAJ,Associate Professor at Multimedia university
Fazly Salleh Abas,SBsq2koAAAAJ,"Associate Professor, Multimedia University, Melaka, Malaysia"
Goh Mei Ling,phLLQJoAAAAJ,Multimedia University
Lew Sook Ling,LCKWrjMAAAAJ,"Associate Professor, Multimedia University"
Jian Ai Yeow,A72KzpYAAAAJ,"Lecturer of Faculty of Business, Multimedia University"
Seong Shan Yap,QfpVttkAAAAJ,Multimedia University
Mohd Ridzuan Mokhtar,ePidZLYAAAAJ,Multimedia University
Junaidi Abdullah,-N1g6woAAAAJ,Multimedia University
YS Lim,TRbYUsMAAAAJ,Multimedia University
Normiza Mohamad Nor,mp3aoDQAAAAJ,Multimedia University
"Heng-Siong Lim, PhD",bINHwoQAAAAJ,"Professor, Faculty of Engineering and Technology, Multimedia University"
Kah Boon Lim,ZRyrbkQAAAAJ,"Assistant Professor, Multimedia University"
"Azlan Abd Aziz, MMU",HAyCWBkAAAAJ,"Senior Lecturer, Multimedia University"
Nor Hidayati binti Abdul Aziz,2-DKvcQAAAAJ,"Faculty of Engineering & Technology, Multimedia University"
Zubaida Yusoff,hpm3rpkAAAAJ,Multimedia University
Dr.Seethaletchumy Thambiah,G1stOqYAAAAJ,"Senior Lecturer, Faculty of Management, Multimedia University (MMU), Cyberjaya, Malaysia"
Adamu Abbas Adamu,RsGLP4sAAAAJ,"Faculty of Applied Communication - Multimedia University, Malaysia"
Zaka Ur Rehman,2PPcmkoAAAAJ,Multimedia University Malaysia
Wooi Haw Tan,p441VA0AAAAJ,Multimedia University
Lee boon leng,x_VIKssAAAAJ,"Lecturer, Multimedia University"
Farman Ali,PRKe83gAAAAJ,"Qurtuba University, Multimedia University, Nanjing University of Aeronautics and …"
Tan Gek Siang,ccyvBwYAAAAJ,"Lecturer, Multimedia University"
Liew Kia Wai,_6LPLlYAAAAJ,"Associate Professor, Faculty of Engineering & Technology, Multimedia University"
Leow Meng-Chew,NHDFb6UAAAAJ,"Assistant Professor, Multimedia University"
Yong-Hoe Hong,1rA3EvYAAAAJ,"Lecturer, Multimedia University"
Muhammad Reazul Haque,R9GDmFIAAAAJ,"Post-Doctoral Research Fellow, Multimedia University, University of East London (UK) …"
Dr. Aravinda CV,vclqSkkAAAAJ,"Faculty of Engineering and Technology, Multimedia University, Jalan Ayer Kerkoh Lama …"
Dr. Ferdous Hossain,HH9Yhd4AAAAJ,"Postdoctoral Researcher at Faculty of Engineering and Technology, Multimedia University …"
Sew-Kin Wong,AKohOuEAAAAJ,"Lecturer Faculty of Engineering, Multimedia University"
Khairil Imran Ghauth,msNdwLAAAAAJ,Multimedia University
Way-Soong LIM,YnzVX58AAAAJ,"Faculty of Engineering & Technology, Multimedia University"
Fang-Fang Chua,9iJfDo8AAAAJ,"Associate Professor, Faculty of Computing and Informatics, Multimedia University, Cyberjaya"
CK Kok,9jU0KT0AAAAJ,"Associate Professor, Faculty of Engineering and Technology, Multimedia University"
Ming-Tao Gan,bRsRIPAAAAAJ,"Lecturer, Multimedia University"
RICHARD ARHINFUL (Ph.D.),4o1ZdKoAAAAJ,Multimedia University
Chen Hon Nee,ZBFhTF4AAAAJ,Multimedia University
Thong Leng Lim,7x6CE74AAAAJ,"Senior Lecturer, Multimedia University"
Jeen Wei Ong,k8-PAJ0AAAAJ,Multimedia University
Ng Kok Why,_PI0lEwAAAAJ,Associate Professor of Multimedia University
Mohammad Tariqul Islam Khan,5C9vHHYAAAAJ,Multimedia University
SC Teo,S7gnGr4AAAAJ,"Lecturer, Multimedia Univsersity"
Mohammed Nasser Al-Andoli,usrMVeUAAAAJ,"Faculty of Computing & Informatics, Multimedia University - Cyberjaya,"
Chun-Teck Lye,8rDLWi4AAAAJ,"Faculty of Business, Multimedia University"
Tay Lee Ying,R2XSrp8AAAAJ,"Lecturer, Multimedia University"
Ian Chai,LGJlvEAAAAAJ,"Principal Lecturer, Multimedia University"
Shereen Khan,b85vl3QAAAAJ,Multimedia University
Yip Sook Chin,baSTno8AAAAJ,"Multimedia University, University of Malaya"
Naveen Palanichamy,G4Hu7d4AAAAJ,Multimedia University
Ahmad Salman,31x8NRUAAAAJ,Multimedia University
Sarina Mansor,ExS1xlcAAAAJ,"Associate Professor, Faculty of AI and Engineering, Multimedia University"
Siow Chun Lim,5ySQDNoAAAAJ,Multimedia University
Mariati Norhashim,Q5xSVJ8AAAAJ,Multimedia University
siew chin chong,HChw7owAAAAJ,Multimedia University
KL Aravindan,ShUxRYIAAAAJ,Ex Academy Professional Multimedia University
Ling Siew Woei,9AE0WUkAAAAJ,multimedia University
Cheong Soon Nyean,JmUf0P8AAAAJ,Multimedia University
Vik Tor Goh,zJJ4GMIAAAAJ,Multimedia University
Sabarudin Zakaria,jNQMbwMAAAAJ,"Senior Lecturer - Multimedia Univesity, Cyberjaya, Malaysia"
Arshad Jamal,4NDh6wUAAAAJ,"Lecturer IT Multimedia University Cyberjaya, Malaysia"
Kim Piew Lai,QNzNNaMAAAAJ,Multimedia University
Noramiza Hashim,7UpUOhMAAAAJ,Multimedia University
Sook-Ling Chua,ZF9xv-QAAAAJ,"Lecturer, Faculty of Computing and Informatics, Multimedia University"
Shen Yee Pang,kCr6WEgAAAAJ,"FET,Multimedia University"
Mohammed Hussein Saleh Mohammed Haram,1jcqDoAAAAAJ,"Graduate Research Assistant, Multimedia University"
Ah Heng You,-MjDr7MAAAAJ,Multimedia University
Arnifa Asmawi,ZSxZqaQAAAAJ,"Associate Professor, Multimedia University, Malaysia"
Uzma Jafar,1e3_RpAAAAAJ,Multimedia University - MMU Cyberjaya
Wooi-Nee Tan,AEUvqB8AAAAJ,"Lecturer, Multimedia University"
venkataseshaiah chinthakunta,N6qUizkAAAAJ,"MMU ,Melaka"
Siok Hwa Lau,3MYmAFoAAAAJ,Multimedia University
Senthilpari,5l542y8AAAAJ,"Associate Professor, MULTIMEDIA UNIVERSITY"
Eng Kiong Wong,AVE9K38AAAAJ,"Professor, Multimedia University"
Assoc. Prof. Ts. Dr. R Kanesaraj Ramasamy,yt3vGTwAAAAJ,"Associate Professor, Faculty of Computing and Informatics, Multimedia University."
Siti Zakiah Melatu Samsi,YW4bvLYAAAAJ,"Lecturer, Faculty of Business, Multimedia University, Melaka, Malaysia"
